ID,Name,Quantity,Unit,Source,Confidence,File_Reference
__this_drives_the_need_for_an_oxygen_supply__the_need_to_support_oxygen_mixing_1,- this drives the need for an oxygen supply, the need to support oxygen mixing,2.0,pcs,readme_bom,0.70,
system_and_a_one_way_valve_in_2,system and a one way valve in,2.0,pcs,readme_bom,0.45,
__where_possible__we_are_standardizing_to_m4_mounting_components__this_is_to_minimize_the_variety_of_components_to_keep_in_inventory__3,- where possible, we are standardizing to M4 mounting components. This is to minimize the variety of components to keep in inventory.,4.0,pcs,readme_bom,0.70,
sensor_characterization_4,sensor characterization,2.0,pcs,readme_bom,0.60,
623045_1_12_a_623045_1_12_b_5,623045.1.12.a 623045.1.12.b,2009.0,pcs,readme_bom,0.70,
definitions__6,definitions.,14971.0,pcs,readme_bom,0.70,
and_623047_2_2_a__7,and 623047.2.2.a.,6.2,pcs,readme_bom,0.70,
623047_3_1__623047_4_3_since_risk_control_measures_will_be_implemented_as_part_of_this_activity_or_impact_on_existing_risk_control_measures_623047_4_2__8,623047.3.1, 623047.4.3 since risk control measures will be implemented as part of this activity or impact on existing risk control measures 623047.4.2.,7.4,pcs,readme_bom,0.70,
and_623048_2_3__9,and 623048.2.3.,5.5,pcs,readme_bom,0.70,
crimper_refte_microfit_crimper_10,Crimper refte-microfit-crimper,3.0,pcs,readme_bom,0.70,
crimper_11,Crimper,3.0,pcs,readme_bom,0.55,
_or_simply_v4l2__input_device_to_capture_live_input_such_as_from_a_webcam__12,(or simply v4l2) input device to capture live input such as from a webcam.,2.0,pcs,readme_bom,0.45,
_framerate_15__i_devvideo0_13,-framerate 15 -i devvideo0,2.0,pcs,readme_bom,0.45,
_ar_16000__i_hw1_0_14,-ar 16000 -i hw1,0,1.0,pcs,readme_bom,0.45,
output3_mkv_15,output3.mkv,10.0,pcs,readme_bom,0.45,
_i_devvideo0_16,-i devvideo0,2.0,pcs,readme_bom,0.45,
_tune_zerolatency__f_mpegts_udp192_168_1_88081_18,-tune zerolatency -f mpegts udp192.168.1.88081,264.0,pcs,readme_bom,0.45,
22awg_15cm_a13_19,22AWG 15cm A13,4.0,pcs,readme_bom,0.60,
male_2_54mm_crimp_pins_a10_20,male 2.54mm crimp pins A10,4.0,pcs,readme_bom,0.60,
14mm_screws_a13_21,14mm screws A13,3.0,pcs,readme_bom,0.70,
lock_nuts_a17_22,lock nuts A17,3.0,pcs,readme_bom,0.70,
series__these_are_widely_available_and_cost_around_0_50unit__to_use_23,series. These are widely available and cost around 0.50unit. To use,700.0,pcs,readme_bom,0.70,
mm_epdm_foam_or_1_5_mm_60_durometer_rubber__24,mm EPDM foam or 1.5 mm 60 durometer rubber,,3.0,pcs,readme_bom,0.70,
screws_25,screws,3.0,pcs,readme_bom,0.70,length depends on mounting base thickness
thumb_screws__which_go_into_threaded_inserts__right_now_were_using_standard_26,thumb screws, which go into threaded inserts. Right now were using standard,20.0,pcs,readme_bom,0.70,
gaskets_for_4_filter_assemblies_27,gaskets for 4 filter assemblies,8.0,pcs,readme_bom,0.45,
hardware_a11_13_to_attach_filter_holder_to_the_filter_panel_assembly_28,hardware A11-13 to attach filter holder to the filter panel assembly,4.0,pcs,readme_bom,0.45,..